Metric,Value
Mean Same,0.8944600973810468
Std Same,0.06646813981746845
Min Same,0.7419226169586182
Mean Diff,0.802642099257927
Std Diff,0.09086103208519677
Max Diff,1.000000238418579
Optimal Threshold,0.9127190709114075
AUC,0.7909771291495321
